Date,SPY_ret,QQQ_ret,IWM_ret,USO_ret,UUP_ret,VIX_ret,Treasury_10Y,TBill_3M,FedFunds,COVID_dummy,Ukraine_dummy
2022-02-15,0.0159981564401314,0.0245598407899872,0.0264557424306117,-0.0318459526409177,-0.0038849303644926,-0.0974302895618471,2.05,0.33,0.08,0,0
2022-02-16,0.0011202164487773,-0.0002525660548457,0.0020845712099341,-0.0115788786288612,-0.0019481396364914,-0.0564262408819199,2.03,0.33,0.08,0,0
2022-02-17,-0.0215928218076795,-0.0301951237467605,-0.0259525233655317,0.0098661399779414,0.0003897764063116,0.1460606259257957,1.97,0.33,0.08,0,0
2022-02-18,-0.006496326580264,-0.0114712226135022,-0.0086355624219384,0.0088434322730366,0.0027253074632449,-0.0128895664389659,1.92,0.33,0.08,0,0
2022-02-22,-0.0107896066910987,-0.0100941340559018,-0.014187609144219,0.012281441738629,0.0003888223054958,0.0374866903667627,1.94,0.33,0.08,0,0
2022-02-23,-0.0178978555634914,-0.0259491680111517,-0.0188898494104207,0.0106238205874931,0.0011653029817024,0.0739096419462359,1.99,0.33,0.08,0,0
2022-02-24,0.0149369233247477,0.0330522978387007,0.0258826732150166,0.0015085004896261,0.0081190633223271,-0.0228246217964355,1.96,0.33,0.08,0,1
2022-02-25,0.0218239879515511,0.0153880514605612,0.0222708751256458,-0.0081730936062052,-0.0050182968120149,-0.0943541569492612,1.97,0.33,0.08,0,1
2022-02-28,-0.002561532402467,0.0029744034203373,0.0040411639894503,0.0252114227142871,0.0015467424159666,0.0887315167610534,1.83,0.33,0.08,0,1
2022-03-01,-0.0153475132345032,-0.0154299938966124,-0.0190170787920531,0.0623316771239055,0.0076983674682864,0.099972897618906,1.72,0.44,0.2,0,1
2022-03-02,0.0182290626048123,0.016640422585228,0.0235319296690509,0.0489094830033443,-0.0007671837867077,-0.0805930774749881,1.86,0.44,0.2,0,1
2022-03-03,-0.0049908527300321,-0.0143879709906196,-0.0119196824966346,-0.0118707550371846,0.0038299621618546,-0.0084940148647644,1.86,0.44,0.2,0,1
2022-03-04,-0.0081579599524909,-0.0145980104173017,-0.015781410137251,0.0640520263496674,0.0076161134871391,0.0480399772917948,1.74,0.44,0.2,0,1
2022-03-07,-0.0299224544835575,-0.0375782715744608,-0.025180899913315,0.0359675874330145,0.0071820437755467,0.1308307862940434,1.78,0.44,0.2,0,1
2022-03-08,-0.0076104147366887,-0.0046590854824187,0.0055081294835555,0.0364760044381563,-0.0018850601348462,-0.0368859827034087,1.86,0.44,0.2,0,1
2022-03-09,0.0264576989953633,0.0353654439613814,0.0277941764039316,-0.123962088264302,-0.0098597550439769,-0.0793550300210518,1.94,0.44,0.2,0,1
2022-03-10,-0.0045258622573505,-0.0111671698214173,-0.0017990117532419,-0.0188596999512389,0.0049421551689348,-0.0708656730126584,1.98,0.44,0.2,0,1
2022-03-11,-0.0127964994856403,-0.0209561388458978,-0.0160849065249436,0.0311071736244933,0.0052949797422358,0.0170552006038553,2.0,0.44,0.2,0,1
2022-03-14,-0.0073353585934838,-0.0193917435006762,-0.0206458102128869,-0.0477175115613816,-0.0003773798671937,0.0326324684375749,2.14,0.44,0.2,0,1
2022-03-15,0.0217523249639873,0.030885069737237,0.0158050722478091,-0.0595354876829248,-0.0011326605159834,-0.0630078667210693,2.15,0.44,0.2,0,1
2022-03-16,0.0219317244052798,0.0364156831277975,0.0309788839332237,-0.005112836852067,-0.0072038282838551,-0.1119752549144441,2.19,0.44,0.2,0,1
2022-03-17,0.0124334017648336,0.0120332650629106,0.0155758952836229,0.0761145160406214,-0.0022857703782768,-0.0382163431994338,2.2,0.44,0.2,0,1
2022-03-18,0.0108934128702737,0.0202615151607216,0.0104759750217235,0.0129451522728572,0.0011436225658023,-0.0727005223459161,2.14,0.44,0.2,0,1
2022-03-21,-0.0002925674395342,-0.0027840942875197,-0.0088682980529189,0.0635835029280036,0.0038022091829578,-0.0143462435882629,2.32,0.44,0.2,0,1
2022-03-22,0.01163343012098,0.0194620667953622,0.0099773690448808,-0.0123974183205738,-0.0003795038253537,-0.0253940969391224,2.38,0.44,0.2,0,1
2022-03-23,-0.0129620894266372,-0.0144758347222689,-0.0175018104803783,0.0422466349813259,0.0011383313796669,0.0270925690185508,2.32,0.44,0.2,0,1
2022-03-24,0.0149619305043462,0.0219834183471963,0.0114330966726363,-0.0272125262856185,0.001136953249928,-0.0840458849314185,2.34,0.44,0.2,0,1
2022-03-25,0.004871721473509,-0.0008345430599606,0.0013595862074574,0.0123373473016974,0.0003787252639012,-0.040495204326951,2.48,0.44,0.2,0,1
2022-03-28,0.007087705603828,0.0153540974193913,0.0003394130712227,-0.0800323764517304,0.0030244825446154,-0.058374649206258,2.46,0.44,0.2,0,1
2022-03-29,0.0122951603560083,0.0170633311392492,0.0264195040999809,0.0215033868640553,-0.006058224368737,-0.0378970636537627,2.41,0.44,0.2,0,1
2022-03-30,-0.0061941736627968,-0.0111071188781609,-0.0202790234422141,0.0228492619681452,-0.0053312744988572,0.0224963873913073,2.35,0.44,0.2,0,1
2022-03-31,-0.0155107922120064,-0.0124722493116296,-0.010612279523515,-0.0498689228740805,0.0041912127616027,0.0616891253380785,2.32,0.44,0.2,0,1
2022-04-01,0.0028300644709328,-0.0019050116729849,0.0111425346070602,0.000674292588157,0.0015197936678799,-0.046288449075623,2.39,0.76,0.33,0,1
2022-04-04,0.0085300011794314,0.0203796531289138,0.0016365413589078,0.0356258620165817,0.0045454040890532,-0.0555116066049678,2.42,0.76,0.33,0,1
2022-04-05,-0.0127117852504666,-0.0224542653379207,-0.023948516590888,-0.0271676672984479,0.0052771838429858,0.124402663434561,2.54,0.76,0.33,0,1
2022-04-06,-0.0100495341468021,-0.0219507750666553,-0.0142896252633455,-0.0236737458063366,0.0007514489524234,0.0496276034194115,2.61,0.76,0.33,0,1
2022-04-07,0.0050263242168148,0.002375013953134,-0.0032533111784663,0.0008209846806297,0.0018765704134837,-0.0252018446382473,2.66,0.76,0.33,0,1
2022-04-08,-0.0026774130282331,-0.0140779611259232,-0.008003546050681,0.013585319545394,0.0,-0.0182631813675825,2.72,0.76,0.33,0,1
2022-04-11,-0.0172401754560881,-0.023941556479346,-0.0067442388527677,-0.0247263128246494,0.0022471631875726,0.1412403022953158,2.79,0.76,0.33,0,1
2022-04-12,-0.0037122311754443,-0.0042329982642821,0.0031493970262148,0.0496460205669144,0.0033614285284605,-0.0045239891238267,2.72,0.76,0.33,0,1
2022-04-13,0.0113886806143258,0.0201230113841376,0.0188416006083049,0.0316087815735683,-0.0041099495926687,-0.1060019465315728,2.7,0.76,0.33,0,1
2022-04-14,-0.0125300002749984,-0.0231323559131047,-0.0097532427890965,0.014558160039279,0.0044825802007905,0.039537991678157,2.83,0.76,0.33,0,1
2022-04-18,0.0004109721367919,0.0007678322853288,-0.0067579910523614,0.0105014585488847,0.0040916051985442,-0.0236249310274892,2.85,0.76,0.33,0,1
2022-04-19,0.0160138236177656,0.022104332133865,0.0197412630698765,-0.0451529990252362,0.0022246665521735,-0.0367519184669116,2.93,0.76,0.33,0,1
2022-04-20,-0.0007417470294147,-0.0146917671913004,0.0038129741433553,0.0049318368254843,-0.0070619194413816,-0.0503825009108351,2.85,0.76,0.33,0,1
2022-04-21,-0.0150666538393931,-0.0209081466093967,-0.0226436117828245,0.0113287112637133,0.0029795897226836,0.1098778846234855,2.9,0.76,0.33,0,1
2022-04-22,-0.0278224910597952,-0.026534446827193,-0.0262256539053936,-0.023442181858704,0.005932513537436,0.2181930002446307,2.9,0.76,0.33,0,1
2022-04-25,0.0057807217706889,0.0127635554677356,0.0060538465271183,-0.0219934148826336,0.0047943556439441,-0.0430991430861909,2.81,0.76,0.33,0,1
2022-04-26,-0.0293885347890629,-0.0384753767296628,-0.0320266639414696,0.0239571718686881,0.0062351081210577,0.215564939796603,2.77,0.76,0.33,0,1
2022-04-27,0.0028081281520163,-0.001199269956783,-0.0041631975634099,-0.0011777314298873,0.0061965527157608,-0.0589851566056232,2.82,0.76,0.33,0,1
2022-04-28,0.0249457482078571,0.0348996908779517,0.0184948499603761,0.0221439806914038,0.0057970967725946,-0.0522931475357139,2.85,0.76,0.33,0,1
2022-04-29,-0.0376561646896509,-0.0460425477205708,-0.0293043197322744,-0.0118527300570761,-0.0039818412079044,0.1076919605386716,2.89,0.76,0.33,0,1
2022-05-02,0.0060014834946789,0.0165585004988328,0.0104348815018804,0.0156875222308429,0.0050650155375376,-0.0322510868004498,2.99,0.76,0.33,0,1
2022-05-03,0.004573563545698,0.0010667583342719,0.0085248108754156,-0.0217974041181035,-0.0018059962385238,-0.1004252851893356,2.97,0.76,0.33,0,1
2022-05-04,0.0299984611588778,0.0332531134218411,0.0263357830070753,0.0450015219473413,-0.0083499811914993,-0.1403433049152221,2.93,0.76,0.33,0,1
2022-05-05,-0.0361897362460071,-0.0516763907646672,-0.0414099249784265,0.0032358725039804,0.0083499811914993,0.2048818505059806,3.05,0.76,0.33,0,1
2022-05-06,-0.0059866888666448,-0.012053406007978,-0.0167824959149309,0.0202945762473855,0.0018059962385238,-0.032907357859992,3.12,0.76,0.33,0,1
2022-05-09,-0.032541251107919,-0.0399127511036033,-0.0429741285940443,-0.0700979731707621,0.0003609039593601,0.1406688106021692,3.05,0.76,0.33,0,1
2022-05-10,0.0023078331070762,0.0120755884891105,0.0002859968721531,-0.0270036386245322,0.002162135250618,-0.0519750358922645,2.99,0.76,0.33,0,1
2022-05-11,-0.0160133074468611,-0.0301071640389642,-0.0251784492795859,0.0478121517533898,0.0010792773098203,-0.0131199528069553,2.91,0.76,0.33,0,1
2022-05-12,-0.0010447065650331,-0.0023670589101253,0.0116551130283136,0.013341193078315,0.0085930122219987,-0.0245621206214794,2.84,0.76,0.33,0,1
2022-05-13,0.023626570961824,0.0363897689604592,0.0311999854909828,0.0255449114650527,-0.0028561935624547,-0.0957194399458646,2.93,0.76,0.33,0,1
2022-05-16,-0.0040659497715073,-0.0116595307641613,-0.0047848881443767,0.0222650700971567,-0.003940395879291,-0.049708547633251,2.88,0.76,0.33,0,1
2022-05-17,0.0203618413243809,0.0255718742014873,0.0301249829114644,-0.0243587733015966,-0.008289948981134,-0.05115914616664,2.98,0.76,0.33,0,1
2022-05-18,-0.0411465908484126,-0.0503364042935226,-0.0356702102586491,-0.0226942367763636,0.0050542042225154,0.1707606902058833,2.89,0.76,0.33,0,1
2022-05-19,-0.0061434688438302,-0.0053726342418438,0.0016439220806258,0.0161384736557646,-0.0104977658331688,-0.0534034598788589,2.84,0.76,0.33,0,1
2022-05-20,0.000436383819859,-0.0031126526838605,-0.0025520024981945,0.0131913356178796,0.0021809978815208,0.0027220133435583,2.78,0.76,0.33,0,1
2022-05-23,0.0185372049374966,0.0164906073552307,0.0120239573397161,0.0039115034524917,-0.0091191354127573,-0.0328125021443165,2.86,0.76,0.33,0,1
2022-05-24,-0.0076631708753445,-0.0214915280319815,-0.0149248603095154,0.0003659057072421,-0.0029359337890016,0.0334918655332464,2.76,0.76,0.33,0,1
2022-05-25,0.00879614680476,0.0138982774942209,0.0178385100461335,0.0058366331444214,0.0036684711161047,-0.037361657601379,2.75,0.76,0.33,0,1
2022-05-26,0.019784328096856,0.0273304325529883,0.0220787826721737,0.0252601326147856,-0.0033009365360973,-0.031146273729954,2.75,0.76,0.33,0,1
2022-05-27,0.0242528115989347,0.0321178821914647,0.0265701521618176,0.0102324064794846,-0.0022066662224733,-0.0669171320000555,2.74,0.76,0.33,0,1
2022-05-31,-0.005627018076697,-0.0026560693715603,-0.0124950821741468,0.0001170319572225,0.0018391316424661,0.0181088062388118,2.85,0.76,0.33,0,1
2022-06-01,-0.0081213469254044,-0.0074236458497031,-0.0056824328704792,0.0008186620415099,0.0076881449135511,-0.0192758470009489,2.94,1.49,1.21,0,0
2022-06-02,0.0188645731558534,0.0270175756775676,0.0241285485672436,0.0197934475808591,-0.008791234240623,-0.0384892270977651,2.92,1.49,1.21,0,0
2022-06-03,-0.0165478757003182,-0.0263639162274187,-0.0090468812312811,0.0251258261206823,0.0044053183350641,0.0028277781658475,2.96,1.49,1.21,0,0
2022-06-06,0.0030402721313619,0.0033253726402857,0.0043208668722511,-0.0121445530355729,0.0021954433472738,0.0112315170188396,3.04,1.49,1.21,0,0
2022-06-07,0.0095463508880327,0.0085887319917266,0.0159994777848329,0.0184951920388924,-0.001097200130218,-0.0427850642878126,2.98,1.49,1.21,0,0
2022-06-08,-0.0109316457942571,-0.0072222197133217,-0.0155736576138255,0.0214258260601067,0.0029229807839503,-0.0025011006728514,3.03,1.49,1.21,0,0
